,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Willie Cauley-Stein,Dal,C,26.99,13,12.1,25.2,14.7,9.3,9,0.556,44,0.705,1,0,0.689,0.684,5.2,4.6,20.1,0.8,9.6,0.31,0.85,0.38,8.8,134.5,97.6
Tyson Chandler,Hou,C,37.87,26,8.4,17.6,6,25.2,13,0.462,18,0.778,0,0,0.778,0.717,1.3,2.5,15.8,0.2,3.5,0.23,0.31,0.31,4.1,134.4,97.9
Wilson Chandler,Bro,F,33.27,35,21,43.7,12.9,15,23,0.87,62,0.597,121,0.306,0.505,0.531,5.9,4.2,10.3,1.1,7.3,0.46,0.34,0.97,5.7,99,100.7
Joe Chealey,Cha,G,24.79,4,8.4,17.4,13,20.2,2,1,3,0,4,0,0,0.127,0.5,0,0,0.3,3.9,1,0,0.5,0,29.7,108.5
Zylan Cheatham,Nor,F,24.74,4,12.8,26.6,10.4,30.8,0,0,8,0.75,1,0,0.667,0.667,3,2.3,9.3,0.8,7.7,0.25,0.25,1,5.5,101.8,96.7
Chris Chiozza,Was,G,24.73,10,12.3,25.5,14.6,20.9,0,0,18,0.167,16,0.438,0.397,0.397,2.7,1.5,6.7,2.8,29.3,1,0.2,0.9,7.3,91,106.5
Chris Chiozza,Bro,G,24.73,18,15.5,32.2,19.7,17.5,5,1,50,0.5,56,0.357,0.519,0.531,6.4,2.1,7.1,3.1,29.5,0.61,0.11,1.28,8.9,106.5,103.8
Marquese Chriss,Gol,F,23.12,59,20.3,42.2,19,14.6,156,0.769,347,0.582,39,0.205,0.554,0.603,9.3,6.2,16.6,1.9,15.3,0.66,1.05,1.32,9.4,116.6,104.5
Brandon Clarke,Mem,F-G,23.9,58,22.4,46.7,18.6,9.5,112,0.759,413,0.661,64,0.359,0.645,0.665,12.1,5.9,13.9,1.4,9.5,0.57,0.83,0.95,8.3,126.6,105.5
Gary Clark,Hou,F,25.75,18,11.8,24.5,12.5,3.1,7,0.857,8,0.625,51,0.353,0.542,0.564,3.9,2.2,9.9,0.7,7.7,0.11,0.39,0.11,6.2,125.4,105.1
Gary Clark,Orl,F,25.75,24,14.8,30.8,10.1,9.6,3,1,14,0.714,60,0.35,0.561,0.571,3.6,2.9,10.6,0.2,1.9,0.17,0.63,0.33,3.5,115.4,107.2
Jordan Clarkson,Cle,G,28.19,29,23,47.8,25.9,9.7,86,0.884,167,0.509,159,0.371,0.532,0.581,14.6,2.4,5.8,2.4,17.1,0.59,0.28,1.34,7.6,116,114.9
Jordan Clarkson,Uta,G,28.19,42,24.7,51.5,26.7,9.1,79,0.785,288,0.545,254,0.366,0.547,0.568,15.6,2.8,6.3,1.6,10.8,0.69,0.19,1.38,6.7,108.3,106.4
Nicolas Claxton,Bro,F-C,21.33,15,12.5,26,14.8,13.6,21,0.524,41,0.634,7,0.143,0.573,0.577,4.4,2.9,12.2,1.1,12.5,0.07,0.53,0.6,7.7,117.4,106.5
Chris Clemons,Hou,G,23.06,33,8.8,18.3,23.6,11.5,11,0.909,35,0.571,107,0.346,0.532,0.548,4.9,0.9,5.4,0.8,14.3,0.24,0.15,0.58,6.9,104.4,106.5
Antonius Cleveland,Dal,G,26.54,11,4.2,8.7,17,11,5,0.6,11,0.364,3,0,0.286,0.34,1,0.6,8,0.1,2.8,0.09,0.27,0.18,3.7,74.1,97.2
Amir Coffey,Lac,G-F,23.16,18,8.8,18.4,17.6,12,11,0.545,35,0.486,19,0.316,0.481,0.493,3.2,0.9,5.2,0.8,12.3,0.28,0.11,0.44,6,99.3,99.8
John Collins,Atl,F,22.89,41,33.2,69.3,22.7,10.1,150,0.8,458,0.642,147,0.401,0.632,0.659,21.6,10.1,16.4,1.5,7.6,0.76,1.61,1.83,8.3,123.5,106.6
Zach Collins,Por,F-C,22.74,11,26.4,54.9,12.5,16.4,8,0.75,49,0.51,19,0.368,0.522,0.538,7,6.3,12.5,1.5,7.2,0.45,0.45,1.27,6.1,109.8,105.8
Mike Conley,Uta,G,32.84,47,29,60.4,23.1,12.8,139,0.827,311,0.437,256,0.375,0.494,0.537,14.4,3.2,6.1,4.4,23.1,0.79,0.11,1.96,8.1,109.2,106
Pat Connaughton,Mil,G,27.61,67,18.6,38.7,12.3,13.8,40,0.775,135,0.607,166,0.331,0.547,0.565,5.4,4.2,11.2,1.6,10.9,0.36,0.48,0.76,7.1,113.4,100.5
Quinn Cook,Lal,G,27.4,44,11.5,24.1,21.1,13,14,0.786,130,0.462,85,0.365,0.495,0.506,5.1,1.2,5.6,1.1,13.8,0.27,0.05,0.75,6.6,98.4,107.3
Tyler Cook,Cle,F,22.89,11,3.2,6.6,16.7,7.3,6,0.833,10,0.7,0,0,0.7,0.752,1.7,0.9,15.9,0.1,4.5,0.09,0,0.09,6.7,,
Tyler Cook,Den,F,22.89,2,9.6,20,11.1,41,2,1,2,0.5,0,0,0.5,0.694,2,2,11.7,0,0,1,0,1,0,97.8,106
Robert Covington,Min,F,29.67,48,29.4,61.2,17.8,12,94,0.798,184,0.587,312,0.346,0.544,0.572,12.8,6,10.7,1.2,5.9,1.67,0.94,1.52,6.1,105.9,103.2
Robert Covington,Hou,F,29.67,22,33,68.7,15.4,11.1,30,0.8,59,0.61,168,0.315,0.509,0.531,11.6,8,12.7,1.5,6.1,1.5,2.23,1.36,6.3,104.4,101.2
Allen Crabbe,Atl,G-F,28.35,28,18.6,38.8,12.8,7.5,12,0.75,50,0.44,93,0.323,0.469,0.482,5.1,2.3,6.6,1,7.3,0.54,0.14,0.43,4.9,100.3,113.2
Allen Crabbe,Min,G-F,28.35,9,14.6,30.3,12.5,12.5,2,0.5,8,0.625,26,0.231,0.412,0.416,3.2,1.3,4.8,0.6,5.1,0,0,0.56,3.7,81.1,111.2
Torrey Craig,Den,F,29.66,58,18.5,38.5,12.6,8.1,36,0.611,131,0.603,138,0.326,0.545,0.553,5.4,3.3,9.9,0.8,5.9,0.4,0.62,0.43,5.2,115,102.3
Jamal Crawford,Bro,G,40.4,1,6,12.5,27.9,0,0,0,2,0.5,2,0.5,0.625,0.625,5,0,0,3,100.3,0,0,0,0,155,100.9
Jae Crowder,Mem,F,30.11,45,29.4,61.2,15.6,10.9,95,0.789,133,0.519,266,0.293,0.466,0.507,9.9,6.2,11,2.8,12.2,1.04,0.31,1.2,7.6,105.2,106.7
Jae Crowder,Mia,F,30.11,20,27.7,57.6,15.3,7.8,30,0.733,36,0.611,128,0.445,0.655,0.669,11.9,5.4,10.8,1.8,9.7,1.25,0.5,0.75,7,126.7,99.8
Jarrett Culver,Min,G-F,21.48,63,23.9,49.8,19.2,11.7,117,0.462,348,0.471,221,0.299,0.462,0.467,9.2,3.4,7.5,1.7,10.8,0.89,0.62,1.3,6.3,94.5,108.7
Seth Curry,Dal,G,29.98,64,24.6,51.3,18.4,9.1,97,0.825,253,0.549,321,0.452,0.621,0.643,12.4,2.3,4.8,1.9,11.6,0.59,0.14,0.97,6.2,122.9,109.2
Stephen Curry,Gol,G,32.42,5,27.9,58,33.6,14.6,26,1,33,0.636,49,0.245,0.476,0.557,20.8,5.2,10.1,6.6,42.2,1,0.4,3.2,12.8,109.4,108.3
Troy Daniels,Lal,G,29.09,41,11.1,23.2,16.1,5.2,16,0.625,46,0.478,112,0.357,0.519,0.527,4.2,1.1,5.5,0.3,4.1,0.2,0.07,0.22,4,107.6,106.5
Troy Daniels,Den,F,29.09,6,12.7,26.4,17.7,9.7,0,0,8,0.5,20,0.3,0.464,0.464,4.3,1,4.4,0.5,5.4,0.5,0,0.5,4.1,88.6,106.3
Anthony Davis,Lal,F-C,27.43,62,34.4,71.6,29.3,10.4,525,0.846,878,0.546,218,0.33,0.536,0.61,26.1,9.3,14.8,3.2,15.1,1.47,2.31,2.48,10.7,120.3,100.6
Ed Davis,Uta,F,31.2,28,10.8,22.6,9.4,20,14,0.5,46,0.478,0,0,0.478,0.489,1.8,3.8,19,0.4,5.2,0.39,0.32,0.46,5.2,109,88.2
Terence Davis,Tor,G,23.25,72,16.8,35,19,14.1,59,0.864,194,0.541,242,0.388,0.564,0.588,7.5,3.3,10.3,1.6,14.2,0.54,0.19,1.06,8.1,110.4,98.1
Dewayne Dedmon,Sac,C,31.01,34,15.9,33.1,18.5,20.4,28,0.821,100,0.55,71,0.197,0.444,0.477,5.1,4.9,17.4,0.4,3.9,0.44,0.76,1.38,5.4,88.4,94.9
Dewayne Dedmon,Atl,C,31.01,10,23.3,48.6,17.4,10.3,8,0.875,48,0.521,36,0.222,0.44,0.463,8.1,8.2,18.9,0.7,4.3,1,1.5,1,6.2,93.8,95.8
Matthew Dellavedova,Cle,G,29.93,57,14.4,30,13,23.6,37,0.865,84,0.488,91,0.231,0.414,0.463,3.1,1.3,5.1,3.2,29,0.37,0.04,1.04,6.5,103.2,110
DeMar DeRozan,San,F,31.02,68,34.1,71,26.3,11.6,450,0.844,1014,0.54,35,0.257,0.535,0.603,22.1,5.5,8.8,5.6,26,1.03,0.29,2.41,10.3,118.3,108.6
Cheick Diallo,Pho,F-C,23.92,47,10.2,21.2,17,16.7,39,0.872,139,0.655,3,0.333,0.651,0.688,4.7,2.8,15.2,0.5,6.9,0.23,0.26,0.68,7.3,119,101.2
Hamidou Diallo,Okc,G,22.04,46,19.5,40.6,18.4,13.6,63,0.603,239,0.485,57,0.281,0.473,0.491,6.9,3.6,10.3,0.8,5.9,0.8,0.2,1.11,5.6,94.3,99.5
Gorgui Dieng,Min,C,30.57,46,16.9,35.2,18.4,12.7,59,0.797,157,0.497,120,0.383,0.531,0.563,7.4,5.6,17.3,1.3,11.1,0.8,0.91,0.96,8.9,112.6,101.2
Gorgui Dieng,Mem,C,30.57,17,18.7,39,15.9,13.2,42,0.738,55,0.618,32,0.25,0.529,0.583,7.2,5.8,16.2,0.9,6.3,0.82,1,0.94,7.2,111.8,99.1
Spencer Dinwiddie,Bro,G,27.36,64,31.2,64.9,29.2,12.5,446,0.778,620,0.485,400,0.308,0.476,0.542,20.6,3.5,5.7,6.8,35,0.63,0.33,2.72,10.1,111,105.1
Donte DiVincenzo,Mil,G,23.54,66,23,48,17.3,14.1,86,0.733,263,0.567,247,0.336,0.536,0.557,9.2,4.8,10.3,2.3,13.6,1.33,0.32,1.36,8.1,108.1,96.6
Luka Doncic,Dal,G-F,21.46,61,33.6,69.9,36.8,14.8,562,0.758,713,0.575,541,0.316,0.531,0.586,28.8,9.4,14.7,8.8,45.7,0.98,0.23,4.28,15.9,115.6,104
Luguentz Dort,Okc,G,21.32,36,22.8,47.5,14.2,8.3,53,0.792,118,0.475,101,0.297,0.461,0.503,6.8,2.3,5.5,0.8,4.6,0.89,0.11,0.61,4.1,102.4,100.9
Damyean Dotson,Nyk,G,26.28,48,17.4,36.3,16.5,6.5,33,0.667,127,0.48,163,0.362,0.516,0.527,6.7,1.9,5.8,1.2,10,0.48,0.08,0.44,5.7,109.6,112.8
Sekou Doumbouya,Det,F,19.64,38,19.8,41.3,16.9,12,46,0.674,138,0.464,98,0.286,0.449,0.474,6.4,3.1,8.9,0.5,3.7,0.53,0.21,0.92,4.3,90.7,105.2
PJ Dozier,Den,G-F,23.8,29,14.2,29.6,20.8,13.7,29,0.724,108,0.444,49,0.347,0.468,0.495,5.8,1.9,7.5,2.2,21.7,0.48,0.21,0.93,8.2,101.9,103.7
Goran Dragic,Mia,G,34.28,59,28.2,58.7,25.9,14.8,246,0.776,386,0.505,338,0.367,0.526,0.573,16.2,3.2,6.3,5.1,29.2,0.68,0.17,2.46,9.1,110.3,106.6
Andre Drummond,Det,C,27.01,49,33.7,70.3,25.5,18,255,0.584,658,0.546,21,0.048,0.531,0.55,17.8,15.8,26.6,2.8,14,1.98,1.67,3.55,11,104.3,97.5
Andre Drummond,Cle,C,27.01,8,28.1,58.5,28.8,19.2,39,0.513,91,0.593,14,0.286,0.571,0.573,17.5,11.1,22,1.8,10.9,1.5,1.38,3.63,10,99.3,100.8
Jared Dudley,Lal,F,35.1,45,8.1,16.8,8,11.6,2,1,18,0.333,42,0.429,0.55,0.558,1.5,1.2,7.8,0.6,9.5,0.33,0.07,0.18,5.1,116.8,98.6
Kris Dunn,Chi,G,26.41,51,24.9,51.8,14.6,15.7,54,0.741,230,0.535,112,0.259,0.487,0.51,7.3,3.7,8.1,3.4,19.5,1.96,0.35,1.33,7.2,104.4,98.8
Carsen Edwards,Bos,G,22.43,37,9.5,19.7,18.4,9.9,19,0.684,52,0.346,76,0.316,0.422,0.444,3.3,1.3,7.2,0.6,9.3,0.32,0.11,0.41,5.8,92.3,101.6
Henry Ellenson,Bro,F-C,23.59,5,3,6.3,19.4,0,0,0,3,0.333,4,0,0.143,0.143,0.4,1.2,20.6,0.2,8.7,0,0,0,6.1,,
Wayne Ellington,Nyk,G,32.71,36,15.5,32.3,15,9.1,13,0.846,31,0.355,143,0.35,0.494,0.509,5.1,1.8,6.2,1.2,11,0.36,0.11,0.5,5.7,105.6,110.3
Joel Embiid,Phi,C-F,26.42,51,29.5,61.5,33,13.8,436,0.807,630,0.516,172,0.331,0.512,0.59,23,11.6,21.7,3,16.9,0.86,1.29,3.12,12.6,113,96.8
James Ennis III,Phi,F,30.12,49,15.8,33,15.7,10.6,61,0.787,120,0.525,106,0.349,0.524,0.564,5.8,3.1,10.7,0.8,7.3,0.45,0.31,0.61,6.2,113.7,101.7
James Ennis III,Orl,F,30.12,20,24.5,51,15.6,15.3,37,0.838,70,0.6,63,0.286,0.519,0.566,8.5,4.8,10.4,1.1,6.5,0.6,0.4,1.35,5.8,105.2,101.9
Drew Eubanks,San,F-C,23.53,22,12.4,25.8,15.8,21.1,26,0.769,66,0.636,1,1,0.649,0.682,4.9,3.9,16.8,0.7,7.7,0.23,0.77,0.95,7.7,119.5,101.3
Jacob Evans,Gol,G-F,23.16,27,15.3,31.9,17.6,14.6,29,0.862,95,0.337,38,0.342,0.387,0.439,4.7,1.5,5.4,1.1,10.9,0.41,0.44,0.93,5.2,86.8,108.9
Jacob Evans,Min,G-F,23.16,2,2.2,4.5,9.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Dante Exum,Uta,G,25.09,11,7.6,15.8,17.8,29.5,2,1,17,0.471,6,0.333,0.478,0.503,2.2,1.1,7.9,0.6,11.8,0.09,0.18,0.91,6,83,104.2
Dante Exum,Cle,G,25.09,24,16.8,34.9,14.4,15.6,41,0.732,59,0.559,37,0.351,0.547,0.592,5.6,2.3,7.7,1.4,11.4,0.46,0.25,0.88,6.2,112.6,110.9
Tacko Fall,Bos,C,24.68,7,4.6,9.7,24,16.4,3,0.333,14,0.786,0,0,0.786,0.751,3.3,2.1,24.7,0.1,6,0.29,0.57,0.43,7.7,114.7,77.2
Derrick Favors,Nor,F,29.09,51,24.4,50.8,14,13,71,0.563,331,0.628,7,0.143,0.62,0.622,9,9.8,21.3,1.6,9.2,0.59,0.9,1.08,8.5,124.5,103.9
Cristiano Felicio,Chi,F-C,28.1,22,17.5,36.5,9.1,21.9,23,0.783,52,0.654,2,0,0.63,0.671,3.9,4.6,14.6,0.7,5.7,0.45,0.09,0.82,5.3,128.5,106.4
Terrance Ferguson,Okc,G,22.25,56,22.5,46.8,9.1,11.9,20,0.75,52,0.558,168,0.292,0.466,0.481,3.9,1.3,3.3,0.9,5.3,0.46,0.3,0.55,2.9,97.1,102.3
Bruno Fernando,Atl,F-C,22,56,12.7,26.5,15.3,15.9,51,0.569,162,0.605,37,0.135,0.53,0.542,4.3,3.5,15,0.9,9.9,0.32,0.3,0.75,7.5,107,102.4
Yogi Ferrell,Sac,G,27.27,50,10.6,22.1,19.2,11.9,42,0.857,109,0.505,79,0.304,0.484,0.528,4.4,1,5.2,1.4,18.8,0.36,0.08,0.56,6.9,107.3,109.9
Dorian Finney-Smith,Dal,F,27.28,71,29.9,62.2,12.9,10.8,108,0.722,219,0.589,303,0.376,0.575,0.595,9.5,5.7,10,1.6,7.2,0.63,0.55,0.97,5.9,121.1,106.7
Bryn Forbes,San,G,27.06,63,25.1,52.2,18.5,8.4,90,0.833,200,0.47,381,0.388,0.544,0.57,11.2,2,4.3,1.7,9.5,0.52,0,0.9,5.4,109.5,111.6
Evan Fournier,Orl,G-F,27.79,66,31.4,65.5,24,10.8,220,0.818,496,0.526,434,0.399,0.56,0.595,18.5,2.6,4.4,3.2,16.6,1.08,0.23,1.88,6.8,112.2,106.3
De'Aaron Fox,Sac,G,22.65,51,32,66.8,29.8,14.1,342,0.705,630,0.535,185,0.292,0.513,0.558,21.1,3.8,6.7,6.8,35.2,1.45,0.49,3.12,10.2,110.4,106.7
Melvin Frazier Jr.,Orl,G-F,23.96,19,6.6,13.8,14,12.3,4,0.5,18,0.389,16,0.5,0.559,0.559,2.1,0.5,4.3,0.2,3.4,0.47,0.11,0.26,3.6,99.8,103.1
Michael Frazier,Hou,G,26.44,13,11.1,23.2,11.5,12.5,14,0.643,6,0.5,23,0.174,0.31,0.384,2.1,0.8,3.6,0.2,1.7,0.15,0,0.38,2.5,75.4,101.7
Tim Frazier,Det,G,29.79,27,13.1,27.4,17.3,25.6,24,0.792,64,0.375,30,0.333,0.415,0.464,3.6,1.2,5.3,3.4,36.6,0.52,0.11,1.33,7.5,99.6,104.8
Markelle Fultz,Orl,G,22.21,72,27.7,57.8,21.4,14.9,159,0.73,637,0.507,135,0.267,0.488,0.517,12.1,3.3,6.4,5.1,29,1.25,0.17,2.04,8.5,104.2,105.6
Wenyen Gabriel,Sac,F,23.39,11,5.6,11.6,18.7,18.9,10,0.6,9,0.556,8,0.125,0.382,0.444,1.7,0.9,9.2,0.3,6.6,0.27,0.18,0.45,5.5,86.8,103.5
Wenyen Gabriel,Por,F,23.39,19,9.1,19,11.5,23.3,12,0.75,19,0.526,12,0.417,0.565,0.606,2.3,2.2,12.7,0.3,3.6,0.42,0.26,0.58,5.1,111,97.6
Daniel Gafford,Chi,F-C,21.87,43,14.2,29.5,13.3,15.3,60,0.533,134,0.701,0,0,0.701,0.686,5.1,2.5,9.6,0.5,5.2,0.3,1.3,0.67,5.2,123.7,99.2
Danilo Gallinari,Okc,F,32.02,62,29.6,61.6,24.6,7.4,298,0.893,378,0.476,439,0.405,0.547,0.612,18.7,5.2,9.6,1.9,10.3,0.68,0.08,1.23,7.7,119.7,107.6
Langston Galloway,Det,G,28.68,66,25.8,53.7,15.9,6.5,84,0.857,211,0.493,331,0.399,0.557,0.584,10.2,2.2,4.9,1.5,8.8,0.73,0.15,0.61,5,117.7,112.3
Darius Garland,Cle,G,20.55,59,30.9,64.4,20.6,17.1,72,0.875,402,0.435,296,0.355,0.476,0.499,12.3,1.9,3.3,3.9,18.5,0.69,0.07,2.54,5.8,96.3,115.7
Marc Gasol,Tor,C,35.54,44,26.4,55,13.2,16.4,49,0.735,131,0.473,148,0.385,0.529,0.551,7.5,6.2,12.5,3.3,17.3,0.77,0.86,1.34,8.1,110.1,96
Rudy Gay,San,F-G,34,67,21.8,45.4,22,11.8,136,0.882,376,0.511,220,0.336,0.508,0.553,10.8,5.4,13.4,1.7,11.3,0.52,0.49,1.31,8.5,106.7,108.2
Paul George,Lac,F,30.29,48,29.6,61.6,29.6,12.5,217,0.876,401,0.464,381,0.412,0.539,0.589,21.5,5.7,10,3.9,21.1,1.4,0.42,2.6,10.6,111.9,100.9
Taj Gibson,Nyk,F,35.14,62,16.5,34.4,14.8,12.9,56,0.732,272,0.599,14,0.286,0.591,0.61,6.1,4.3,13.9,0.8,7.6,0.44,0.48,0.74,6.7,119.8,103.7
Harry Giles III,Sac,F-C,22.32,46,14.5,30.2,20.6,13.9,49,0.776,249,0.558,2,0,0.554,0.58,6.9,4.1,15.9,1.3,14.2,0.48,0.39,0.96,9.2,111.1,94
Shai Gilgeous-Alexander,Okc,G-F,22.09,70,34.7,72.3,23.6,10.3,357,0.807,762,0.513,251,0.347,0.515,0.569,19,5.9,9.4,3.3,15.2,1.13,0.67,1.93,8.3,111.3,106.4
Rudy Gobert,Uta,C,28.13,68,34.3,71.5,16.2,15,403,0.63,557,0.693,0,0,0.693,0.699,15.1,13.5,21.7,1.5,6.6,0.72,1.97,1.91,7.9,130,99.2
Brandon Goodwin,Atl,G,24.87,34,12.7,26.4,22.4,12.5,30,0.933,103,0.485,87,0.299,0.468,0.507,6.1,2.1,9,1.5,18,0.35,0.12,0.85,8.4,100.8,108.9
Aaron Gordon,Orl,F,24.91,62,32.5,67.8,20.7,10.4,224,0.674,530,0.494,237,0.308,0.484,0.516,14.4,7.7,12.7,3.7,17.4,0.82,0.63,1.61,9.1,107.2,105.8
Eric Gordon,Hou,G,31.64,36,28.2,58.8,22.5,7.8,107,0.766,160,0.469,303,0.317,0.473,0.51,14.4,2,3.7,1.5,7.9,0.64,0.33,1.19,5,101,109.7
Devonte' Graham,Cha,G,25.48,63,35.1,73.1,24.8,14.5,233,0.82,378,0.397,585,0.373,0.495,0.537,18.2,3.3,5.2,7.5,35.4,0.98,0.24,2.87,8.7,109.6,112.4
Treveon Graham,Min,G-F,26.8,33,20.1,41.9,13.1,9,37,0.73,93,0.452,83,0.241,0.409,0.445,5.2,3.1,8,0.9,6.1,0.52,0.06,0.58,4.9,96.6,107.4
Treveon Graham,Atl,G-F,26.8,22,12.1,25.2,13.3,11.7,19,0.474,30,0.4,37,0.351,0.47,0.478,3.3,2.3,10.1,0.7,7.6,0.32,0.18,0.45,5.8,103.2,106.2
Jerami Grant,Den,F,26.43,71,26.6,55.5,18,8.1,194,0.747,381,0.538,252,0.389,0.556,0.591,12,3.5,7.3,1.2,6.6,0.7,0.8,0.89,5.6,116.2,107.6
Jerian Grant,Was,G,27.85,6,13.4,27.9,17.1,9.1,7,0.714,19,0.421,8,0.25,0.407,0.449,4.5,1,4.1,1.5,15.2,0.17,0.17,0.5,5.6,98.7,108.4
Josh Gray,Nor,G,26.93,2,11.4,23.6,12.6,71.4,0,0,2,0.5,0,0,0.5,0.5,1,1,4.7,1,10.5,0,0,2.5,3.5,47,115.8
Danny Green,Lal,G,33.15,68,24.8,51.7,13.9,11.3,48,0.688,147,0.524,327,0.367,0.542,0.552,8,3.3,7.3,1.3,7.1,1.24,0.46,0.93,5.2,107.8,102.1
Draymond Green,Gol,F,30.45,43,28.4,59.2,15.7,21.8,83,0.759,186,0.468,129,0.279,0.448,0.491,8,6.2,11.8,6.2,31.2,1.37,0.77,2.28,9.5,100.6,105.2
JaMychal Green,Lac,F-C,30.15,63,20.7,43.2,13.7,12.6,48,0.75,114,0.518,238,0.387,0.56,0.576,6.8,6.2,15.4,0.8,5,0.46,0.38,0.86,6.2,111.6,94.9
Javonte Green,Bos,G-F,27.06,48,9.7,20.3,15.3,13.7,42,0.667,93,0.581,33,0.273,0.536,0.564,3.4,1.9,10.6,0.5,7.7,0.5,0.17,0.48,6.1,109.6,100.2
Jeff Green,Uta,F,33.97,30,18.4,38.4,19.7,10.8,63,0.778,91,0.451,104,0.327,0.472,0.523,7.8,2.7,8.1,0.7,5.2,0.4,0.33,0.9,5.3,101.4,104.7
Jeff Green,Hou,F,33.97,18,22.6,47.1,17.9,8.5,28,0.857,70,0.8,79,0.354,0.658,0.682,12.2,2.9,6.7,1.7,11.6,0.83,0.5,0.83,6.9,130.4,104
Blake Griffin,Det,F,31.42,18,28.5,59.3,28.4,12,98,0.776,139,0.439,111,0.243,0.406,0.476,15.5,4.7,9.3,3.3,18,0.39,0.39,2.22,8.7,97.5,111.8
Marko Guduric,Mem,G,25.44,44,11,22.9,17.6,17.6,26,0.923,74,0.5,83,0.301,0.475,0.514,3.9,1.7,7.9,1,12.3,0.27,0.18,0.82,6.8,96.3,108.4
Kyle Guy,Sac,G,23.01,3,3.2,6.7,22.6,0,0,0,2,1,3,0,0.4,0.4,1.3,0.3,5.9,0.3,16.4,0,0,0,6.1,,
Rui Hachimura,Was,F,22.52,48,30.1,62.7,19,8,140,0.829,458,0.5,87,0.287,0.489,0.535,13.5,6.1,11.1,1.8,8.8,0.77,0.17,1.1,7,110,111.8
Devon Hall,Okc,G,25.11,11,7.3,15.3,21,13,8,0.5,13,0.154,17,0.235,0.267,0.298,1.8,0.6,4.8,1.2,21.4,0.36,0.09,0.45,6,74.2,105.2
Donta Hall,Det,F,23.02,4,12,24.9,7.9,23.1,6,0.667,4,0.25,0,0,0.25,0.452,1.5,3.8,17.8,0.5,5.3,0.25,0.25,0.5,4.7,109.9,95
Donta Hall,Bro,F,23.02,5,17.1,35.5,12.9,11.4,12,0.417,18,0.778,0,0,0.778,0.709,6.6,4.6,13.9,0.4,3.5,0.4,1,0.6,5.4,130.4,94.7
Dusty Hannahs,Mem,G,26.95,2,6.7,14,30.7,0,2,1,6,0.333,3,0.667,0.556,0.607,6,0.5,3.9,0,0,0,0,0,0,120.1,110.8
Tim Hardaway Jr.,Dal,G,28.41,71,29.5,61.4,21.1,6.7,182,0.819,371,0.485,513,0.398,0.55,0.581,15.8,3.3,5.8,1.9,9.7,0.61,0.07,0.97,6.3,115.4,110
James Harden,Hou,G,30.97,68,36.5,76.1,36.2,14,800,0.865,671,0.556,843,0.355,0.543,0.626,34.3,6.5,9.4,7.5,35.9,1.84,0.88,4.49,13,120.3,103.3
Maurice Harkless,Lac,F-G,27.26,50,22.8,47.5,10.3,16.3,42,0.571,144,0.59,73,0.37,0.578,0.584,5.5,4,9.1,1,5.5,0.96,0.6,0.92,4.9,108.8,99.6
Maurice Harkless,Nyk,F-G,27.26,12,23.8,49.6,12.4,8.4,24,0.625,41,0.561,25,0.28,0.508,0.536,6.8,3.3,7.5,1.7,9.7,0.75,0.25,0.58,5.7,113.5,107
Jared Harper,Pho,G,22.92,3,2.6,5.5,21.5,0,0,0,2,0.5,2,0,0.25,0.25,0.7,0,0,0,0,0,0,0,0,,
Montrezl Harrell,Lac,F-C,26.55,63,27.8,57.8,25.7,10,351,0.658,795,0.592,18,0,0.579,0.606,18.6,7.1,13.2,1.7,10.4,0.63,1.11,1.71,8.7,118.5,102.2
Gary Harris,Den,G,25.92,56,31.8,66.2,15.1,9.7,92,0.815,309,0.479,210,0.333,0.487,0.519,10.4,2.9,5.1,2.1,8.9,1.36,0.25,1.07,5,104.8,109.2
Joe Harris,Bro,G-F,28.94,69,30.8,64.1,18.3,11.3,89,0.719,378,0.553,406,0.424,0.596,0.606,14.5,4.3,7.3,2.1,10.4,0.59,0.25,1.52,6.6,113.1,106.4
